Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q37,DMP3099L,SOT-23,197.97,-103.575,0,bottom
Q38,DMP3099L,SOT-23,197.97,-108.025,0,bottom
Q39,DMP3099L,SOT-23,197.97,-112.475,0,bottom
Q40,DMP3099L,SOT-23,197.835,-89.365,0,bottom
Q41,DMP3099L,SOT-23,197.835,-93.815,0,bottom
Q42,DMP3099L,SOT-23,197.835,-98.265,0,bottom
Q43,2N7002,SOT-23,193.395,-103.575,0,bottom
Q44,2N7002,SOT-23,193.395,-108.025,0,bottom
Q45,2N7002,SOT-23,193.395,-112.475,0,bottom
Q46,2N7002,SOT-23,193.26,-89.365,0,bottom
Q47,2N7002,SOT-23,193.26,-93.815,0,bottom
Q48,2N7002,SOT-23,193.26,-98.265,0,bottom
Q49,DMP3099L,SOT-23,186.481484,-88.787016,0,bottom
Q50,DMP3099L,SOT-23,186.481484,-93.237016,0,bottom
Q51,DMP3099L,SOT-23,186.481484,-97.687016,0,bottom
Q52,DMP3099L,SOT-23,185.891484,-104.277016,0,bottom
Q53,2N7002,SOT-23,185.878984,-108.147016,0,bottom
Q54,2N7002,SOT-23,181.906484,-88.787016,0,bottom
Q55,2N7002,SOT-23,181.906484,-93.237016,0,bottom
Q56,2N7002,SOT-23,181.906484,-97.687016,0,bottom
Q57,2N7002,SOT-23,181.798984,-104.277016,0,bottom
Q58,DMP3099L,SOT-23,181.751484,-108.162016,0,bottom
Q59,DMP3099L,SOT-23,173.581484,-110.297016,0,bottom
Q60,DMP3099L,SOT-23,173.581484,-114.747016,0,bottom
Q61,DMP3099L,SOT-23,173.581484,-119.197016,0,bottom
Q62,DMP3099L,SOT-23,173.486484,-97.209516,0,bottom
Q63,DMP3099L,SOT-23,173.486484,-101.659516,0,bottom
Q64,DMP3099L,SOT-23,173.486484,-106.109516,0,bottom
Q65,DMP3099L,SOT-23,173.363984,-88.737016,0,bottom
Q66,2N7002,SOT-23,173.351484,-92.607016,0,bottom
Q67,2N7002,SOT-23,169.271484,-88.737016,0,bottom
Q68,DMP3099L,SOT-23,169.223984,-92.622016,0,bottom
Q69,2N7002,SOT-23,169.006484,-110.297016,0,bottom
Q70,2N7002,SOT-23,169.006484,-114.747016,0,bottom
Q71,2N7002,SOT-23,169.006484,-119.197016,0,bottom
Q72,2N7002,SOT-23,168.911484,-97.209516,0,bottom
Q73,2N7002,SOT-23,168.911484,-101.659516,0,bottom
Q74,2N7002,SOT-23,168.911484,-106.109516,0,bottom
C1,100n,C_0603_1608Metric,198.2975,-115.285,0,top
C2,100n,C_0603_1608Metric,198.2975,-117.795,0,top
C3,100n,C_0603_1608Metric,198.2975,-120.305,0,top
Q1,DMP3099L,SOT-23,168.352718,-101.776016,180,top
Q2,DMP3099L,SOT-23,168.352718,-106.226016,180,top
Q3,DMP3099L,SOT-23,168.352718,-110.676016,180,top
Q4,DMP3099L,SOT-23,168.458718,-88.717016,180,top
Q5,DMP3099L,SOT-23,168.458718,-93.167016,180,top
Q6,DMP3099L,SOT-23,168.458718,-97.617016,180,top
Q7,2N7002,SOT-23,169.05,-115.6125,-90,top
Q8,DMP3099L,SOT-23,169.05,-120.1875,-90,top
Q9,2N7002,SOT-23,172.927718,-101.776016,180,top
Q10,2N7002,SOT-23,172.927718,-106.226016,180,top
Q11,2N7002,SOT-23,172.927718,-110.676016,180,top
Q12,2N7002,SOT-23,173.033718,-88.717016,180,top
Q13,2N7002,SOT-23,173.033718,-93.167016,180,top
Q14,2N7002,SOT-23,173.033718,-97.617016,180,top
Q15,2N7002,SOT-23,173.5,-115.6125,-90,top
Q16,DMP3099L,SOT-23,173.5,-120.1875,-90,top
Q17,2N7002,SOT-23,177.95,-115.6125,-90,top
Q18,DMP3099L,SOT-23,177.95,-120.1875,-90,top
Q19,2N7002,SOT-23,182.45,-115.6875,-90,top
Q20,DMP3099L,SOT-23,182.45,-120.2625,-90,top
Q21,2N7002,SOT-23,186.9,-115.6875,-90,top
Q22,DMP3099L,SOT-23,186.9,-120.2625,-90,top
Q23,DMP3099L,SOT-23,188.466484,-107.008984,180,top
Q24,2N7002,SOT-23,188.478984,-110.878984,180,top
Q25,DMP3099L,SOT-23,188.812484,-90.258016,0,top
Q26,2N7002,SOT-23,188.792484,-94.178016,0,top
Q27,2N7002,SOT-23,188.867484,-98.228016,0,top
Q28,2N7002,SOT-23,188.852484,-102.278016,0,top
Q29,2N7002,SOT-23,191.35,-115.6875,-90,top
Q30,DMP3099L,SOT-23,191.35,-120.2625,-90,top
Q31,2N7002,SOT-23,192.558984,-107.008984,180,top
Q32,DMP3099L,SOT-23,192.606484,-110.893984,180,top
Q33,2N7002,SOT-23,193.049984,-90.258016,0,top
Q34,DMP3099L,SOT-23,193.079984,-94.178016,0,top
Q35,DMP3099L,SOT-23,193.104984,-98.228016,0,top
Q36,DMP3099L,SOT-23,193.089984,-102.278016,0,top
